Series Name,Country Name,2015,2016,2017,2018,2019,2020
"School enrollment, tertiary, female (% gross)",Belize,28.67227936,29.9324398,30.48455048,30.48693085,31.31575012,32.22591019
"School enrollment, tertiary, female (% gross)",Benin,7.745090008,7.641709805,7.466390133,7.94633007,7.182159901,7.509679794
"School enrollment, tertiary, female (% gross)",Bermuda,35.26948929,..,22.4610405,22.90533066,..,..
"School enrollment, tertiary, female (% gross)",Bhutan,12.92022038,..,14.05499268,14.31441116,15.51912308,17.0324192
"School enrollment, tertiary, female (% gross)",Bolivia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Bosnia and Herzegovina,57.67919922,58.635849,55.77616119,51.13705063,48.49008179,46.17034149
"School enrollment, tertiary, female (% gross)",Botswana,34.61948013,30.35430908,29.24465942,31.2528801,29.93086052,31.94717979
"School enrollment, tertiary, female (% gross)",Brazil,58.80435181,59.05104828,59.72615051,61.59022903,64.3465271,64.55419159
"School enrollment, tertiary, female (% gross)",British Virgin Islands,54.23038101,50.74626923,..,20.94339943,32.96398926,..
"School enrollment, tertiary, female (% gross)",Brunei Darussalam,46.92094421,43.65871429,43.98562622,38.70596695,38.41532898,39.36457062
"School enrollment, tertiary, female (% gross)",Bulgaria,79.11971283,79.28095245,78.8241806,79.33702087,81.96420288,84.28182983
"School enrollment, tertiary, female (% gross)",Burkina Faso,3.461270094,3.750339985,4.094689846,4.764969826,5.082520008,5.561659813
"School enrollment, tertiary, female (% gross)",Burundi,2.546459913,2.424449921,2.706739902,3.07171011,3.044650078,4.106890202
"School enrollment, tertiary, female (% gross)",Cabo Verde,27.45799065,28.93059921,29.3447094,28.34651947,..,..
"School enrollment, tertiary, female (% gross)",Cambodia,11.81066036,..,11.57912922,12.28019619,13.53853893,13.93298626
"School enrollment, tertiary, female (% gross)",Cameroon,15.10735989,11.68883038,11.44435024,13.40384007,..,..
"School enrollment, tertiary, female (% gross)",Canada,74.48036957,76.38455963,79.29238892,80.57795715,86.50887299,90.97679901
"School enrollment, tertiary, female (% gross)",Cayman Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Central African Republic,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Chad,1.45915997,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Channel Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Chile,89.94313812,92.58557892,94.66281128,97.89286041,100.3581238,99.47923279
"School enrollment, tertiary, female (% gross)",China,50.17866135,52.74169922,53.97914886,55.88122177,59.46992111,63.92700958
"School enrollment, tertiary, female (% gross)",Colombia,57.43416977,59.74895859,60.83253098,59.72433853,59.04463959,58.58776093
"School enrollment, tertiary, female (% gross)",Comoros,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)","Congo, Dem. Rep.",..,4.73100996,..,..,..,5.231939793
"School enrollment, tertiary, female (% gross)","Congo, Rep.",10.06107807,..,10.14620018,..,..,..
"School enrollment, tertiary, female (% gross)",Costa Rica,60.28377151,59.41439056,63.17330933,60.8644104,63.61806107,..
"School enrollment, tertiary, female (% gross)",Cote d'Ivoire,6.903460026,7.249350071,7.635499954,..,8.509320259,8.712619781
"School enrollment, tertiary, female (% gross)",Croatia,76.73713684,77.37743378,78.8371582,79.05442047,79.46011353,79.9688797
"School enrollment, tertiary, female (% gross)",Cuba,42.50212097,40.00701904,50.50682068,51.0078392,55.50774002,60.81452179
"School enrollment, tertiary, female (% gross)",Curacao,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Cyprus,69.39546967,73.41246033,82.35413361,84.49549866,91.09998322,98.12271881
"School enrollment, tertiary, female (% gross)",Czechia,75.68125153,74.81391907,75.2736969,74.52980804,76.57492828,79.42752075
"School enrollment, tertiary, female (% gross)",Denmark,96.29026031,93.9538269,93.5774765,94.43289185,95.50930786,96.8469162
"School enrollment, tertiary, female (% gross)",Djibouti,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Dominica,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Dominican Republic,66.98925018,69.9590683,77.01242065,..,..,..
"School enrollment, tertiary, female (% gross)",Ecuador,48.39746857,..,..,50.93574905,51.68082809,57.32950974
"School enrollment, tertiary, female (% gross)","Egypt, Arab Rep.",34.32683945,34.24900055,35.77687836,39.81047821,..,..
"School enrollment, tertiary, female (% gross)",El Salvador,29.36202049,29.4725399,30.15279007,31.14780045,31.88573074,..
"School enrollment, tertiary, female (% gross)",Equatorial Guinea,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Eritrea,2.736880064,2.785609961,..,..,..,..
"School enrollment, tertiary, female (% gross)",Estonia,87.47978973,86.44786072,83.98623657,85.34838104,89.60082245,..
"School enrollment, tertiary, female (% gross)",Eswatini,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Ethiopia,6.807209969,7.177710056,7.609549999,7.762189865,..,..
"School enrollment, tertiary, female (% gross)",Faroe Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Fiji,..,..,..,..,64.05983734,..
"School enrollment, tertiary, female (% gross)",Finland,95.81938934,94.50517273,95.74749756,98.06279755,101.5003586,105.0806503
"School enrollment, tertiary, female (% gross)",France,69.71964264,71.73220062,73.04025269,75.18060303,76.19490814,78.04891968
"School enrollment, tertiary, female (% gross)",French Polynesia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Gabon,..,..,..,..,23.36967087,..
"School enrollment, tertiary, female (% gross)","Gambia, The",..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Georgia,51.64757919,55.79343033,60.68053818,63.73786163,68.11850739,71.96962738
"School enrollment, tertiary, female (% gross)",Germany,67.04390717,69.46286011,70.70688629,71.48545074,74.34445953,75.08486176
"School enrollment, tertiary, female (% gross)",Ghana,12.85441017,12.96393013,13.42022991,13.56527996,15.77715015,17.71556091
"School enrollment, tertiary, female (% gross)",Gibraltar,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Greece,..,132.7247314,136.9972382,142.882431,150.0460663,152.4028168
"School enrollment, tertiary, female (% gross)",Greenland,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Grenada,102.5308533,107.9313965,110.3379669,116.2242584,..,..
"School enrollment, tertiary, female (% gross)",Guam,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Guatemala,23.55789948,..,..,..,23.80612946,..
"School enrollment, tertiary, female (% gross)",Guinea,5.400849819,5.556270123,5.458240032,4.432219982,4.007740021,3.366085529
"School enrollment, tertiary, female (% gross)",Guinea-Bissau,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Guyana,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Haiti,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Honduras,23.62653923,24.3392601,28.12970924,30.28330994,29.69753075,..
"School enrollment, tertiary, female (% gross)","Hong Kong SAR, China",73.97786713,77.50576782,78.54644775,81.11762238,85.4701004,89.45467377
"School enrollment, tertiary, female (% gross)",Hungary,54.69770813,53.47320175,53.91294861,55.56222916,57.9897995,61.11759949
"School enrollment, tertiary, female (% gross)",Iceland,98.04905701,96.7979126,94.4238205,95.70391846,103.196312,112.4147186
"School enrollment, tertiary, female (% gross)",India,26.8188076,27.04351807,28.03871727,29.06164551,30.21795845,31.29393578
"School enrollment, tertiary, female (% gross)",Indonesia,35.04788971,37.69702911,38.9903183,38.99365997,..,..
"School enrollment, tertiary, female (% gross)","Iran, Islamic Rep.",66.98770142,64.26306152,62.85649109,58.91133881,57.9845314,57.18223953
"School enrollment, tertiary, female (% gross)",Iraq,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Ireland,80.58055115,81.56446838,81.9967804,82.06006622,80.697258,80.75592804
"School enrollment, tertiary, female (% gross)",Isle of Man,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Israel,76.33287811,76.04325104,74.47486115,72.55491638,72.57862854,72.9519577
"School enrollment, tertiary, female (% gross)",Italy,70.84647369,70.65631866,71.51538086,74.12349701,76.20246124,80.59230804
"School enrollment, tertiary, female (% gross)",Jamaica,34.69338989,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Japan,61.28524017,61.96580887,62.48719025,62.98492813,63.65396881,..
"School enrollment, tertiary, female (% gross)",Jordan,38.1828804,36.82398987,33.25255966,37.37089157,35.76189041,36.90745163
"School enrollment, tertiary, female (% gross)",Kazakhstan,52.09302139,51.64215851,56.12923813,60.03319931,68.44193268,77.57811737
"School enrollment, tertiary, female (% gross)",Kenya,7.677569866,9.406279564,9.730540276,..,..,..
"School enrollment, tertiary, female (% gross)",Kiribati,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)","Korea, Dem. People's Rep.",19.85235977,..,..,18.05063057,..,..
"School enrollment, tertiary, female (% gross)","Korea, Rep.",81.9552536,82.19882202,82.84249878,84.94790649,88.1593399,92.79290009
"School enrollment, tertiary, female (% gross)",Kosovo,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Kuwait,76.5011673,81.53469086,77.4696579,76.13706207,76.47447968,81.78085327
"School enrollment, tertiary, female (% gross)",Kyrgyz Republic,52.98461151,50.7446785,47.51968002,46.73535919,47.44448853,51.72927856
"School enrollment, tertiary, female (% gross)",Lao PDR,17.66563225,17.17159653,16.04949951,15.51762676,15.25497913,14.38116455
"School enrollment, tertiary, female (% gross)",Latvia,91.13356018,98.10533142,105.0589676,111.8452072,111.0199509,109.4371796
"School enrollment, tertiary, female (% gross)",Lebanon,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Lesotho,12.23676968,12.39754963,13.33512974,12.39754963,..,..
"School enrollment, tertiary, female (% gross)",Liberia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Libya,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Liechtenstein,21.88919067,24.75157928,27.35507011,27.59090996,29.88402939,31.74312019
"School enrollment, tertiary, female (% gross)",Lithuania,82.67658234,82.54947662,84.0010376,85.7025528,84.49919891,84.0328598
"School enrollment, tertiary, female (% gross)",Luxembourg,20.82938004,20.63326073,20.14929962,19.96397972,19.85625076,20.96482086
"School enrollment, tertiary, female (% gross)","Macao SAR, China",80.82485962,89.56996918,96.1688385,104.4609909,115.8118362,130.4924469
"School enrollment, tertiary, female (% gross)",Madagascar,4.564889908,4.624969959,5.096469879,5.214149952,..,5.432730198
"School enrollment, tertiary, female (% gross)",Malawi,0.885429978,..,..,1.285619974,..,..
"School enrollment, tertiary, female (% gross)",Malaysia,51.66175079,50.5759697,47.06638718,49.85465622,48.74292755,48.4375267
"School enrollment, tertiary, female (% gross)",Maldives,..,..,59.77832031,..,66.51064301,..
"School enrollment, tertiary, female (% gross)",Mali,3.234220028,2.216301918,2.571163416,3.272101164,3.268974543,..
"School enrollment, tertiary, female (% gross)",Malta,55.02756119,56.54726028,63.17398071,68.76969147,76.1880188,83.96672821
"School enrollment, tertiary, female (% gross)",Marshall Islands,..,..,..,..,27.40300941,..
"School enrollment, tertiary, female (% gross)",Mauritania,3.727269888,3.576649904,3.331150055,3.500479937,4.360280037,4.484899998
"School enrollment, tertiary, female (% gross)",Mauritius,42.51897812,43.79940033,47.45722961,..,..,52.60554123
"School enrollment, tertiary, female (% gross)",Mexico,31.56361961,38.56782913,40.62316895,42.30899811,43.99684906,46.59690857
"School enrollment, tertiary, female (% gross)","Micronesia, Fed. Sts.",..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Moldova,59.01327896,60.27273941,61.89028931,63.48577118,64.52076721,67.46733093
"School enrollment, tertiary, female (% gross)",Monaco,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Mongolia,75.05965424,70.13809204,70.93763733,69.76269531,76.80291748,81.80882263
"School enrollment, tertiary, female (% gross)",Montenegro,..,63.8860817,66.11125183,64.91356659,62.40800095,64.36961365
"School enrollment, tertiary, female (% gross)",Morocco,27.78318024,30.72886086,33.2909584,35.69778061,39.05136108,41.71070862
"School enrollment, tertiary, female (% gross)",Mozambique,5.583680153,6.342350006,6.341790199,6.533639908,..,..
"School enrollment, tertiary, female (% gross)",Myanmar,..,..,..,21.98386955,..,..
"School enrollment, tertiary, female (% gross)",Namibia,25.97563934,27.83811951,30.2642498,31.85479927,35.23699951,35.55529022
"School enrollment, tertiary, female (% gross)",Nauru,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Nepal,14.53833961,11.49555016,11.64118004,12.82444954,13.68988037,14.79447556
"School enrollment, tertiary, female (% gross)",Netherlands,86.12705231,85.3462677,90.91986847,92.85855103,..,99.12557983
"School enrollment, tertiary, female (% gross)",New Caledonia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",New Zealand,94.90341949,96.40853119,97.17176056,99.13540649,97.55529022,97.29279327
"School enrollment, tertiary, female (% gross)",Nicaragua,22.19101906,21.88167953,..,24.24914932,22.41324997,..
"School enrollment, tertiary, female (% gross)",Niger,2.125139952,2.504169941,2.445050001,2.565180063,3.274139881,2.822319984
"School enrollment, tertiary, female (% gross)",Nigeria,..,..,10.40990543,10.13486958,..,..
"School enrollment, tertiary, female (% gross)",North Macedonia,45.85842133,..,48.55228043,49.24562073,49.03606033,50.56365967
"School enrollment, tertiary, female (% gross)",Northern Mariana Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Norway,92.93424988,96.63700104,98.72164917,99.69017792,99.97625732,101.7706223
"School enrollment, tertiary, female (% gross)",Oman,54.19620132,59.5394783,54.81871033,55.55290985,55.32564163,57.3821907
"School enrollment, tertiary, female (% gross)",Pakistan,8.589209557,8.395770073,8.677350044,8.320440292,12.11791992,..
"School enrollment, tertiary, female (% gross)",Palau,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Panama,57.99222946,58.59022141,..,..,..,54.05561829
"School enrollment, tertiary, female (% gross)",Papua New Guinea,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Paraguay,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Peru,..,73.55464935,72.67321014,..,..,..
"School enrollment, tertiary, female (% gross)",Philippines,42.84329605,45.81267548,40.41902161,33.68718338,35.99547577,37.74787521
"School enrollment, tertiary, female (% gross)",Poland,81.07875824,80.97905731,81.88044739,82.98145294,83.80953217,84.35749817
"School enrollment, tertiary, female (% gross)",Portugal,65.59140778,66.67508698,67.69994354,70.0112381,73.09818268,76.06442261
"School enrollment, tertiary, female (% gross)",Puerto Rico,114.4871521,116.2490768,..,..,..,..
"School enrollment, tertiary, female (% gross)",Qatar,45.03147125,48.10350037,51.5868988,54.86745834,56.57088089,58.76890182
"School enrollment, tertiary, female (% gross)",Romania,52.21331024,54.19453812,55.43648148,57.41595078,58.04866028,60.18284988
"School enrollment, tertiary, female (% gross)",Russian Federation,87.55020142,87.72640991,89.11636353,91.72387695,93.23761749,..
"School enrollment, tertiary, female (% gross)",Rwanda,6.722549915,6.708449841,6.971350193,6.014279842,5.682020187,6.473350048
"School enrollment, tertiary, female (% gross)",Samoa,..,..,18.9405098,20.30426025,18.54426003,20.28325081
"School enrollment, tertiary, female (% gross)",San Marino,..,..,..,37.51552963,44.36183167,47.44958115
"School enrollment, tertiary, female (% gross)",Sao Tome and Principe,13.65163994,19.34272957,..,..,..,..
"School enrollment, tertiary, female (% gross)",Saudi Arabia,61.44342041,67.53540802,69.34001923,69.87621307,73.68267059,73.55699158
"School enrollment, tertiary, female (% gross)",Senegal,8.025110245,8.116049767,8.644820213,10.30508995,11.26286983,12.32380009
"School enrollment, tertiary, female (% gross)",Serbia,66.87789154,70.86126709,76.85530853,78.25280762,79.28404236,79.94458008
"School enrollment, tertiary, female (% gross)",Seychelles,20.02915001,24.10713959,27.91194916,23.30401993,26.73299026,20.99086952
"School enrollment, tertiary, female (% gross)",Sierra Leone,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Singapore,..,90.5745163,91.19696808,95.41782379,97.0900116,98.27005005
"School enrollment, tertiary, female (% gross)",Sint Maarten (Dutch part),8.962260246,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Slovak Republic,61.80662155,57.94618988,56.63233948,54.88909912,56.12567902,57.21841049
"School enrollment, tertiary, female (% gross)",Slovenia,95.95791626,92.14176941,93.021698,91.63233948,92.9723587,95.0072403
"School enrollment, tertiary, female (% gross)",Solomon Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Somalia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",South Africa,..,24.47295952,26.37453079,28.31438065,28.59526062,29.60360909
"School enrollment, tertiary, female (% gross)",South Sudan,..,0.494219989,..,0.34375,..,..
"School enrollment, tertiary, female (% gross)",Spain,93.2417984,94.41168976,97.0281601,99.96835327,102.1259689,106.3867188
"School enrollment, tertiary, female (% gross)",Sri Lanka,23.93362045,22.9036293,22.82258034,23.44222069,26.01553917,26.67252922
"School enrollment, tertiary, female (% gross)",St. Kitts and Nevis,115.8808899,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",St. Lucia,21.41596985,25.06278038,26.5051403,18.68560028,20.88139915,22.00860023
"School enrollment, tertiary, female (% gross)",St. Martin (French part),..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",St. Vincent and the Grenadines,29.77216911,13.12347603,..,12.96055508,..,..
"School enrollment, tertiary, female (% gross)",Sudan,17.06071091,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Suriname,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Sweden,75.63381195,77.50260162,82.07650757,89.77929688,95.9400177,104.9761734
"School enrollment, tertiary, female (% gross)",Switzerland,58.53498077,58.63093948,60.32978821,62.31203079,64.56803894,67.21769714
"School enrollment, tertiary, female (% gross)",Syrian Arab Republic,44.76588821,42.79074097,..,..,45.70848846,..
"School enrollment, tertiary, female (% gross)",Tajikistan,21.33956909,24.36750031,26.85371017,..,..,..
"School enrollment, tertiary, female (% gross)",Tanzania,2.803299904,2.891700029,..,..,2.453000069,7.127729893
"School enrollment, tertiary, female (% gross)",Thailand,..,57.76923752,55.30675507,54.21274948,52.44277573,49.7804718
"School enrollment, tertiary, female (% gross)",Timor-Leste,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Togo,6.903860092,7.907569885,8.166600227,8.923729897,9.38187027,11.05786037
"School enrollment, tertiary, female (% gross)",Tonga,..,..,..,..,..,26.71898079
"School enrollment, tertiary, female (% gross)",Trinidad and Tobago,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Tunisia,44.07344818,41.80366898,41.66291046,41.23498154,41.73468018,43.04579163
"School enrollment, tertiary, female (% gross)",Turkiye,88.79145813,96.40688324,102.4418411,107.0511932,111.3861465,115.3644867
"School enrollment, tertiary, female (% gross)",Turkmenistan,..,..,..,..,12.84597969,14.5952301
"School enrollment, tertiary, female (% gross)",Turks and Caicos Islands,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Tuvalu,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Uganda,4.493189812,4.326449871,..,..,..,..
"School enrollment, tertiary, female (% gross)",Ukraine,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",United Arab Emirates,..,..,..,..,..,66.34542847
"School enrollment, tertiary, female (% gross)",United Kingdom,64.65975952,67.22567749,69.37931061,71.14698029,76.29753113,80.20751953
"School enrollment, tertiary, female (% gross)",United States,102.7473297,102.2938004,102.0113297,102.3540421,102.4253311,102.9567413
"School enrollment, tertiary, female (% gross)",Uruguay,80.42402649,..,..,100.968277,105.8963089,..
"School enrollment, tertiary, female (% gross)",Uzbekistan,6.317759991,6.613920212,6.902540207,8.248999596,11.3700304,14.91681957
"School enrollment, tertiary, female (% gross)",Vanuatu,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)","Venezuela, RB",..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Vietnam,29.15523911,31.71715927,..,..,..,..
"School enrollment, tertiary, female (% gross)",Virgin Islands (U.S.),..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",West Bank and Gaza,55.63196945,54.18772888,54.22383881,54.34769058,53.89973831,53.8179512
"School enrollment, tertiary, female (% gross)","Yemen, Rep.",..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Zambia,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Zimbabwe,9.172129631,8.544730186,9.68927002,..,..,..
"School enrollment, tertiary, male (% gross)",Afghanistan,..,..,..,14.20810032,..,15.05095005
"School enrollment, tertiary, male (% gross)",Albania,51.56087875,47.56264877,45.73384094,43.04796982,46.94403839,45.05057907
"School enrollment, tertiary, male (% gross)",Algeria,28.78973007,32.04777908,38.41262054,38.83169937,39.70175934,39.15605927
"School enrollment, tertiary, male (% gross)",American Samoa,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Andorra,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Angola,9.42249012,10.23822975,10.32131767,9.975735664,11.26123142,..
"School enrollment, tertiary, male (% gross)",Antigua and Barbuda,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Argentina,64.0533371,65.87956238,67.77472687,69.22720337,71.34838104,73.14956665
"School enrollment, tertiary, male (% gross)",Armenia,42.39125824,45.01602173,46.06830978,47.11909866,44.38237,42.1771698
"School enrollment, tertiary, male (% gross)",Aruba,9.44699955,10.66734982,..,..,..,..
"School enrollment, tertiary, male (% gross)",Australia,97.58070374,100.0364914,93.83847046,91.83286285,98.71556091,95.9119873
"School enrollment, tertiary, male (% gross)",Austria,73.76898956,76.44528961,78.05110168,79.20825195,78.18315125,78.13976288
"School enrollment, tertiary, male (% gross)",Azerbaijan,23.64263916,23.89230919,25.27021027,25.90973091,29.31668091,32.36909866
"School enrollment, tertiary, male (% gross)","Bahamas, The",..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Bahrain,30.94244957,33.72034073,33.95149994,36.99245071,41.01493073,45.25967026
"School enrollment, tertiary, male (% gross)",Bangladesh,16.41259003,20.95334816,21.27598953,24.01158142,27.86230659,26.40204811
"School enrollment, tertiary, male (% gross)",Barbados,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Belarus,77.24951935,77.26039124,79.0907135,80.17623901,82.33421326,81.177742
"School enrollment, tertiary, male (% gross)",Belgium,64.76876831,66.09980011,69.28978729,68.54914093,68.63536072,69.25772095
"School enrollment, tertiary, male (% gross)",Belize,17.83210945,18.48694992,18.8174305,18.58403015,18.66002083,18.97765923
"School enrollment, tertiary, male (% gross)",Benin,19.26951981,18.16472054,16.99370003,17.0004406,15.02287006,14.59722042
"School enrollment, tertiary, male (% gross)",Bermuda,15.26288986,..,13.35758972,15.28361034,..,..
"School enrollment, tertiary, male (% gross)",Bhutan,15.21887016,..,15.43778801,14.97515297,15.61232185,16.04932022
"School enrollment, tertiary, male (% gross)",Bolivia,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Bosnia and Herzegovina,43.06201172,43.32786942,40.31887817,36.2318306,32.39720154,30.17626953
"School enrollment, tertiary, male (% gross)",Botswana,25.82068062,21.4525795,20.48171997,22.21492004,20.29845047,20.34147072
"School enrollment, tertiary, male (% gross)",Brazil,43.89635086,42.73023987,43.7105217,45.18610001,46.25682831,45.05699921
"School enrollment, tertiary, male (% gross)",British Virgin Islands,30.22541046,32.01580811,..,11.65587044,16.84684944,..
"School enrollment, tertiary, male (% gross)",Brunei Darussalam,28.99166679,26.8774929,26.9977932,24.43935204,23.89495277,25.34663963
"School enrollment, tertiary, male (% gross)",Bulgaria,62.00355148,63.69313049,63.71405029,64.19235229,65.33939362,67.1085434
"School enrollment, tertiary, male (% gross)",Burkina Faso,6.621610165,7.32115984,7.85600996,8.186739922,9.0479002,10.0535202
"School enrollment, tertiary, male (% gross)",Burundi,7.752329826,4.953340054,5.141069889,5.052259922,4.812109947,5.837639809
"School enrollment, tertiary, male (% gross)",Cabo Verde,18.7770195,19.2265892,19.61041069,19.04476929,..,..
"School enrollment, tertiary, male (% gross)",Cambodia,14.38901997,..,11.93974304,12.07329082,10.20715427,11.86919498
"School enrollment, tertiary, male (% gross)",Cameroon,18.80599022,13.26124001,14.06748962,15.12481022,..,..
"School enrollment, tertiary, male (% gross)",Canada,55.53107834,56.9835701,59.06871033,60.16537094,65.41322327,68.59668732
"School enrollment, tertiary, male (% gross)",Cayman Islands,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Central African Republic,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Chad,5.031829834,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Channel Islands,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)",Chile,80.73680878,81.96105194,82.46128082,84.11824036,86.06812286,84.09870148
"School enrollment, tertiary, male (% gross)",China,42.33760834,43.81256104,44.7156601,45.92842102,48.72491837,53.57204819
"School enrollment, tertiary, male (% gross)",Colombia,49.27619934,51.36980057,52.192379,51.09033966,51.05904007,50.05437851
"School enrollment, tertiary, male (% gross)",Comoros,..,..,..,..,..,..
"School enrollment, tertiary, male (% gross)","Congo, Dem. Rep.",..,8.466059685,..,..,..,8.762969971
"School enrollment, tertiary, male (% gross)","Congo, Rep.",14.47656536,..,15.17201996,..,..,..
"School enrollment, tertiary, male (% gross)",Costa Rica,46.11328125,48.09724045,50.15325928,49.98328018,51.9770813,..
"School enrollment, tertiary, male (% gross)",Cote d'Ivoire,10.70055962,10.66310978,11.06147957,..,11.40789032,11.12261009
"School enrollment, tertiary, male (% gross)",Croatia,56.67378998,56.16162872,57.38623047,56.78118134,56.5443306,56.81143951
"School enrollment, tertiary, male (% gross)",Cuba,30.16180992,28.46138,29.95513916,32.28290176,33.59209824,33.34592056
"School enrollment, tertiary, male (% gross)",Curacao,..,..,..,..,..,..
